date,return
1999-09-01,0.000539884370136475
1999-10-01,-0.0006152129414396132
2000-02-01,-0.00028687054546390684
2000-03-01,-0.002558034173505205
2000-05-01,0.003927627269662271
2000-06-01,0.005089968716462932
2000-08-01,-0.00016433461107429514
2000-09-01,-0.0005971527995390985
2000-11-01,0.0005088286284050787
2000-12-01,-0.00028519199306911605
2001-02-01,-0.0011064082199006243
2001-03-01,-0.001553239431430656
2001-05-01,-0.0033291486258579337
2001-06-01,-0.002380019846250411
2001-08-01,-0.003817272067940219
2001-10-01,-0.0042899568104846015
2001-11-01,-0.004089510223525337
2002-02-01,-0.002478969292843283
2002-03-01,-0.001967809998213482
2002-04-01,-0.0023190352640255923
2002-05-01,-0.0013635453693633432
2002-07-01,-0.0006846354480968386
2002-08-01,-0.0027934230094342127
2002-10-01,-0.0030443645108217026
2002-11-01,-0.001579001728881344
2003-04-01,-0.0018030580554668474
2003-05-01,-0.001201736346954882
2003-07-01,-0.0005210453705620818
2003-08-01,-0.001734943087253671
2003-09-01,-0.0029559640519833705
2003-10-01,-0.0025749143326672455
2003-12-01,-0.0015657286232912205
2004-03-01,0.0006975011944523503
2004-04-01,-0.001772138657740759
2004-06-01,-0.0036582590492032544
2004-07-01,-0.0015536566445815648
2004-09-01,-0.002181282977389123
2004-10-01,-0.0018132107486345077
2004-11-01,-0.004178759683454138
2004-12-01,-0.004457639527747347
2005-02-01,-0.002158334570786868
2005-03-01,-0.0024685110289101547
2005-04-01,-0.002786731288592082
2005-06-01,-0.0015947341371656352
2005-07-01,-0.0021145808811865517
2005-08-01,-0.0022868283938293236
2005-09-01,-0.0032378729026310902
2005-11-01,-0.001553451251388784
2005-12-01,-0.0020952443997222852
2006-02-01,-0.0025850658663284874
2006-03-01,-0.004083995403547241
2006-05-01,-0.0027424778399619794
2006-06-01,-0.0028766391764895025
2006-08-01,-0.002611268886112403
2006-09-01,-0.003773131225151223
2006-11-01,-0.002010963117653641
2006-12-01,-0.0032195826451380622
2007-02-01,-0.0016416967763453303
2007-03-01,-0.0013408665197921885
2007-05-01,-0.002147090177510639
2007-06-01,-0.003742407435207357
2007-08-01,-0.002124830598650513
2007-10-01,-0.004331445379708109
2007-11-01,-0.002951692841898447
2008-02-01,-0.0028137703916671095
2008-04-01,-0.0031019165895272887
2008-05-01,-0.0028612085619087162
2008-07-01,-0.003985619533575345
2008-08-01,-0.0031720552334031154
2008-09-01,-0.004734433085473888
2008-10-01,-0.006017375636258289
2008-12-01,-0.004315072722803169
2009-04-01,-0.004394084967361482
2009-05-01,-0.004028607613997293
2009-06-01,-0.0043551224950771975
2009-07-01,-0.003886099521660056
2009-09-01,-0.0028860258821836213
2009-10-01,-0.004229008650720024
2009-12-01,-0.002162997998167481
2010-02-01,-0.0028481627702977826
2010-03-01,-0.0025078856104429298
2010-04-01,-0.0026567593900897325
2010-06-01,-0.002141582709486455
2010-07-01,-0.0032432811315179924
2010-09-01,-0.0034273799947290196
2010-10-01,-0.0031554504351242398
2010-11-01,-0.0027763665538080083
2010-12-01,-0.003502099539428521
2011-02-01,-0.0008971790125018355
2011-03-01,-0.003913482477436729
2011-04-01,-0.002926493029430416
2011-06-01,-0.003008463132847865
2011-07-01,-0.0020330697812713347
2011-08-01,-0.0039001788380150916
2011-09-01,-0.004907641181957683
2011-11-01,-0.002985152287689196
2011-12-01,-0.003420536906735942
2012-02-01,-0.00283961947768534
2012-03-01,-0.003122776426978094
2012-05-01,-0.002636749150551545
2012-06-01,-0.0026063174394980607
2012-08-01,-0.0011748472095773404
2012-10-01,-0.002234947552653113
2012-11-01,-0.0028019175361224647
2013-01-01,-0.003458052560845523
2013-02-01,-0.0033150450311015822
2013-03-01,-0.003639935175449048
2013-04-01,-0.0011362139807101447
2013-05-01,-0.0021986307976121886
2013-07-01,-0.0031842507399838884
2013-08-01,-0.004332613987017318
2013-10-01,-0.0031283693677090986
2013-11-01,-0.0017884804595264781
2014-01-01,-0.002909934767658417
2014-04-01,-0.0020433274980527468
2014-05-01,-0.0013803970327125434
2014-07-01,-0.0027977356085708664
2014-08-01,-0.0015427272719247698
2014-09-01,-0.0034710427921163327
2014-10-01,-0.001846852138816623
2014-12-01,-0.0027795359855587497
2015-01-01,-0.0024101988414419974
2015-04-01,-0.0026935508279704694
2015-05-01,-0.0023374327188798783
2015-06-01,-0.001669711095827281
2015-07-01,-0.0032784480258959323
2015-09-01,-0.0004803590175958051
2015-10-01,-0.0013828072626808434
2015-12-01,-0.0013225285458565795
2016-01-01,-0.003042127995433163
2016-02-01,-0.0028049802608119804
2016-03-01,-0.003661082643333125
2016-04-01,-0.003906368413734627
2016-06-01,-0.002411456559177885
2016-07-01,-0.001805952368449643
2016-08-01,-0.0016759326255860085
2016-09-01,-0.002584898348614635
2016-11-01,-0.002154167880195875
2016-12-01,-0.0024311424083646887
2017-02-01,-0.0018582572247014392
2017-03-01,-0.0025963534430520426
2017-05-01,-0.0017774958143374291
2017-06-01,-0.0026271023486650297
2017-08-01,-0.001382813835342105
2017-09-01,-0.0007644994513844888
2017-11-01,-0.0011068816057739966
2017-12-01,-0.0010149901529977099
2018-01-01,-0.0030337029015605342
2018-02-01,-0.0010358124975228529
2018-03-01,-0.000623778670482015
2018-05-01,-0.00035585898823569707
2018-06-01,-0.0005302338663953923
2018-08-01,-0.0003606675097602449
2018-10-01,-0.004714389241473555
2018-11-01,-0.003848710847965747
2019-01-01,-0.0039312630706051935
2019-02-01,-0.003185338098686956
2019-03-01,-0.0016564548107155673
2019-04-01,-0.002715603198236908
2019-05-01,-0.002957720687222583
2019-07-01,-0.0036393835004508404
2019-08-01,-0.0031103123678358113
2019-10-01,-0.003376762631635522
2019-11-01,-0.003694403094611742
2020-01-01,-0.0033778943186346666
2020-04-01,-0.002600441852671486
2020-05-01,0.0006813910691105843
2020-06-01,-0.003448743758598224
2020-07-01,-0.003697968726602391
2020-09-01,-0.0016406082646917056
2020-10-01,-0.0021029916773107806
2020-12-01,-0.0006449365106871384
2021-01-01,-0.0023839819687267497
2021-02-01,-0.0017540383251643799
2021-03-01,-0.0010671354843476868
2021-04-01,0.0002715496770343777
2021-06-01,-0.0026209418816032747
2021-07-01,-0.0017988774284044317
2021-09-01,-0.0010657067513525817
2021-10-01,-0.0012988823227558168
2021-11-01,-0.0038865335664114648
2021-12-01,-0.003507586402889968
2022-02-01,0.00030149482229501585
2022-03-01,-0.0019254398612556897
2022-04-01,-0.0024195684489316327
2022-06-01,-0.0019345949523429718
2022-07-01,-0.002841535277008593
2022-08-01,-0.003241293279737832
2022-09-01,-0.004560777569744101
2022-11-01,-0.003083288184382661
2022-12-01,-0.002342180008743783
2023-02-01,-0.0017335639222762751
2023-03-01,-0.003276483724677704
2023-05-01,-0.003930419133910866
2023-06-01,-0.0033345325059929423
2023-08-01,-0.0016359580698243263
2023-09-01,-0.003130297954339916
2023-11-01,-0.0026387427686051733
2023-12-01,-0.0039018143775787235
2024-01-01,-0.004671207935231984
2024-02-01,-0.003949374685711115
2024-03-01,-0.001635638582222728
2024-04-01,-0.005189676274555218
